0,1,2,3,4,5,6,7,8
2021-04-06 15:38:06,MiguelParrenoLo,173075420,Villarrobledo,1379458399604195335,1,1,[],Castilla-La Mancha adelanta su plan de vacunación y empezará a inmunizar a la población de entre 70 y 80 años la pr… https://t.co/aEc1WIAXk6
2021-04-06 15:37:15,TribunaSal,305172448,Salamanca,1379458188714643464,0,0,[],"📍 SALUD | La OMS insiste en que ""por ahora"" no hay evidencias de que la vacuna de AstraZeneca provoque trombos… https://t.co/CkeSIUPrPB"
2021-04-06 15:37:08,AngusBBB,135894569,"Madrid, España",1379458156519116806,1,0,[],¿Ha llegado ya @CarlosBardem a Cuba para ponerse la vacuna Sputnik?
2021-04-06 15:37:05,MurciaNoticias,2341888808,Murcia (España),1379458144875782146,0,2,[],La consejera de Educación afirma que no se vacunará contra el coronavirus porque desconfía de la vacuna… https://t.co/GhGyaj9wJL
2021-04-06 15:36:45,alexburgos001,720318313805389824,San Pedro de Mérida,1379458059798462470,0,0,[],@FranciscoFlora3 No te preocupes igual y tambien les ponen la vacuna de mentiritas como deben ser de morena ellos si se la van a creer
2021-04-06 15:36:40,PipeHoyos12,1001335188,"Pamplona, España",1379458042027245572,2,0,[],Si con la vacuna igual puedo ir al Rolling que me pongan 3 y en el pecho que no me importa
2021-04-06 15:36:17,alvarosenju,612480673,Madrid,1379457942882238474,3,0,[],"Desconozco donde está el límite, si podremos poner 300mil al día o 500mil, pero en cualquier caso ese límite existe… https://t.co/i4xVMEZYHJ"
2021-04-06 15:36:16,CeldranSteva,1369709112683069440,"Torrelodones, España",1379457937480028167,1,0,[],@srtaZherpa A esta gente se le pone la misma vacuna que a un caballo de carreras con la pata rota.
2021-04-06 15:36:04,jbartolomero,76019110,"Madrid, España",1379457890810015745,11,1,[],Las proyecciones de vacunación de Sánchez se las hace Tezanos. No tengo pruebas pero tampoco dudas.
2021-04-06 15:35:22,manzanares_es,324877951,Manzanares,1379457712069693443,1,0,[],"Tras un intenso año, la agrupación de Manzanares colabora actualmente con el equipo de vacunación

https://t.co/NMmJQVseid"
2021-04-06 15:35:19,FSA_PSOE,33855781,"Asturias, España",1379457699230978054,6,4,[],🗞️ El presidente @sanchezcastejon anuncia que el ritmo de vacunación se acelerará desde abril hasta llegar al 70% d… https://t.co/FHRYArhelE
2021-04-06 15:35:17,JCtrifos,1237098829113106437,Reino de España,1379457691781828609,0,0,[],"@PSOE @equipoGabilondo No sabiamos que hacer.....................
La pandemia esta controlada.
Desaparecen miles de… https://t.co/TCFda2eAH6"
2021-04-06 15:35:02,jokuana,261610749,"Toledo, España",1379457628422701056,0,0,[],@sanchezdelreal Espero que no se haya puesto la vacuna
2021-04-06 15:34:54,JCVizcaino,2154947768,Alicante,1379457596311146496,1,0,[],@Edgarcialonso @alexpalexx @mianrey Hay quien ya ha sido inoculado con la vacuna del Síndrome de Estocolmo. Entre e… https://t.co/5KORbZCHaN
2021-04-06 15:34:54,RalSnchezPrieto,605423309,"Salamanca, Spain",1379457593488330755,0,0,[],"¡Muy bien, señor rector!

https://t.co/CRCRtCIt3Y"
2021-04-06 15:34:18,Ana20225883,1355634859591544834,"Madrid, Comunidad de Madrid",1379457444204646401,0,0,[],"La científica @IdiazAyuso y su banda quieren saltarse a la Unión Europea y negociar con la ""democrática Rusia""; su… https://t.co/pwZCPQMjDN"
2021-04-06 15:33:53,uvea,14893667,Granada,1379457337598050304,2,0,[],"@ManuelMoguer Desde que me enteré de esto, yo no quiero otra vacuna. Me pilla uno abajo de casa. https://t.co/IBJeo1B2cm"
2021-04-06 15:33:37,quediario,28076939,"Madrid, Spain",1379457273622323200,0,0,[],"La EMA se pronunciará sobre los trombos y la vacuna de AstraZeneca 
https://t.co/oDqMZVMhM0"
2021-04-06 15:33:30,noticiasexpreso,1274250907002306561,"Madrid, Comunidad de Madrid",1379457242383183877,0,1,[],Vox y Ciudadanos se unen a la izquierda en las críticas a Díaz Ayuso por tantear la compra de la vacuna Sputnik https://t.co/sg4LypEh84
2021-04-06 15:33:22,paluegostarde,374965942,Madrid ,1379457210816815106,0,0,[],"@g152710s @Tonicanto1 NUNCA!!! En serio tiene que dimitir por adelantarse a los acontecimientos? 
Quien tendrá que… https://t.co/ymdWt61yEG"
2021-04-06 15:33:00,coralmera,2330256052,"Oviedo, España",1379457119343280132,1,0,[],"@SusanaSpa @ccarballo50 Quien ha dicho que ""da igual""???
Hay que vacunar, vacunar y vacunar. El covid es mucho más… https://t.co/PBMl8IqT2w"
2021-04-06 15:32:43,hola,33398564,Madrid (España),1379457047448670209,18,17,[],Un responsable de la Agencia Europea del Medicamento confirma que los trombos y la vacuna de AstraZeneca están rela… https://t.co/cvpjj8uPiT
2021-04-06 15:32:38,s24horas,403281555,Salamanca,1379457026959491073,13,1,[],PROVINCIA | Así ha sido la vacunación masiva en Guijuelo: suministradas 1.200 dosis https://t.co/rjKWcXsIxO https://t.co/TxzneVj7b8
2021-04-06 15:32:24,Pal02065678,954741491724939269,"Valladolid, España",1379456968365068290,1,0,[],"@lauracorama Lo increíble es que a estas alturas del protocolo de vacunación, aún quede gente de esa edad sin vacun… https://t.co/RUqmocgOI7"
2021-04-06 15:31:46,SergioFloresRon,1254923221,"Sevilla, España",1379456808071356417,0,1,"[{'text': 'novela', 'indices': [21, 28]}, {'text': 'AdiosMañana', 'indices': [29, 41]}, {'text': 'COVID19', 'indices': [101, 109]}]","¿Aun no conoces esta #novela #AdiosMañana ? 
Una forma diferente de interpretar la realidad sobre el #COVID19 y de… https://t.co/BaYcm04tXi"
2021-04-06 15:31:22,sieteaguero,507923422,"Comunidad Valenciana, España",1379456706778923009,2,4,[],@hermanntertsch @elenay29 Ahora resulta que la Sputnik V es malísima porque la CAM está interesada en ella. Cuando… https://t.co/aptNrS3lkw
2021-04-06 15:31:20,ClaraMarzenit,1288537981259862018,"Gijón, Asturias",1379456696666447876,2,0,[],"@CPP17927376 @Nopanaden @GuerreroRuano Claro, es que con estrategias tan diferentes de vacunación no es fácil manej… https://t.co/hoxj85EXsn"
2021-04-06 15:31:03,alvarosenju,612480673,Madrid,1379456624516030464,6,1,[],"Yo no sé para que Sánchez se mete en el berenjenal que supone dar un plazo de vacunación con porcentajes exactos, s… https://t.co/EqANDiFSeJ"
2021-04-06 15:31:02,CarlosBarraganT,240638367,Madrid,1379456623014469641,2,0,[],"Rusia perderá la carrera por la vacunación, pero ha vuelto a ganar la batalla por la propaganda (es la única vacuna… https://t.co/K7VWzWlorN"
2021-04-06 15:30:54,KIco47,149349214,Albacete,1379456590651219972,5,1,[],Por mi voluntariado con @CruzRojAlbacete @CruzRojaEsp estoy teniendo mucho contacto con personas mayores que me sor… https://t.co/viLnjrvOi5
2021-04-06 15:30:31,asintomatic,207117812,"Gijón, España",1379456490881310722,8,0,[],@BayonCachero ¿Ponerse una vacuna o no va a hacerla más o menos profesional en el desarrollo de sus funciones? ¿La… https://t.co/peTE7SwML5
2021-04-06 15:30:08,Pekeseguro,208201302,España - Spain,1379456395318296581,1,2,"[{'text': 'Vacunas', 'indices': [81, 89]}, {'text': 'prevención', 'indices': [97, 108]}]","Y ya, para acabar (sorry por la brasa)...ahora que estamos tan pendientes de las #Vacunas...
""La #prevención es la… https://t.co/m7WxkznWqQ"
2021-04-06 15:30:04,gabrielolamendi,374492794,Bilbao,1379456378964733958,0,0,[],"@NoticiasdeAlava Madrid exploró la posibilidad de comprar la vacuna rusa Sputnik V ante la ""inoperancia del Gobierno"""
2021-04-06 15:30:00,generalitat,160831087,Comunitat Valenciana,1379456364406136838,18,10,[],📰 La importancia de actualizar los datos del SIP para vacunarse contra el coronavirus https://t.co/Oka8lBQfRW vía @levante_emv @GVAsanitat
2021-04-06 15:30:00,la8mediterraneo,378621076,Comunidad Valenciana,1379456363743559686,2,1,[],"¿Es de recibo que se comience a dudar de los efectos secundarios de algunas vacunas ahora que, teóricamente, deberí… https://t.co/WWcH2sM7yw"
2021-04-06 15:30:00,ondacerogijon,202152587,Gijón,1379456363584237569,2,1,[],"""Empieza a ser preocupante”. @FORO_Gijon denuncia un retraso en la vacunación en el área de Gijón. Lo cifra en un 7… https://t.co/FZhwyqlF7P"
2021-04-06 15:29:59,lyuva26,2365041789,"Madrid, Comunidad de Madrid",1379456358072848386,11,4,[],@MundoBurbu A retrasar la vacunacion para culpar al Gobierno
2021-04-06 15:29:28,CarlosBarraganT,240638367,Madrid,1379456227470680066,2,0,[],"¿Por qué, si fue la primera vacuna mundial en ser aprobada (¡en agosto de 2020!), van tan atrasados en Rusia con su… https://t.co/G4sDlUkjgk"
2021-04-06 15:29:20,quediario,28076939,"Madrid, Spain",1379456195921076232,0,0,[],"Bal ve ""ridículo"" que Ayuso negocie para adquirir dosis de la vacuna Sputnik 
https://t.co/aYXbDdjU1z"
2021-04-06 15:29:09,psoe_m,40900410,"Comunidad de Madrid, España",1379456148802260993,88,53,"[{'text': 'Móstoles', 'indices': [36, 45]}]","ℹ Hoy @equipoGabilondo ha estado en #Móstoles, acompañado de su alcaldesa @Noelia_posse y de @jalloul_hana y… https://t.co/jr6mDD8oUC"
2021-04-06 15:29:09,Carlos39369779,1052678676633018368,"Madrid, España",1379456148634472451,1,0,[],@hipatia20s @AzotandoM Esas son la vacuna china.
2021-04-06 15:29:07,NoticieroMAD,1288525165219975168,Madrid,1379456139234971650,1,2,"[{'text': 'TELEVISIÓN', 'indices': [0, 11]}, {'text': 'Noticias', 'indices': [12, 21]}, {'text': 'RTVE', 'indices': [22, 27]}]","#TELEVISIÓN #Noticias #RTVE MADRID barajó comprar la VACUNA rusa SPUTNIK V ante la ""inoperancia del GOBIERNO"" de SÁ… https://t.co/LDe5HA3ogW"
2021-04-06 15:28:35,inigoirizar,16199328,Donosti,1379456004040110082,5,0,[],"@cmgorriaran “Estoy en contra de esta vacuna”. Hay más de media docena de vacunas en el mundo con, al menos, tres t… https://t.co/0EpGucUVgi"
2021-04-06 15:28:19,jjorienta65,1096557752200163329,"Valencia, España",1379455938550185984,1,0,[],"@levante_emv @casero_h Ah! Entonces la vacuna nos hará libres! 
Qué fácilmente nos convencen. Nuestra responsabilid… https://t.co/UpNl3HTedb"
2021-04-06 15:27:54,Enrik1980,196853060,Madrid,1379455833118027778,0,0,[],@carmenporter_ @LolitaLobby Sinceramente creo que deberíamos de empezar a asumir que esta vacuna al igual que otras… https://t.co/Ah6lQ9BOdH
2021-04-06 15:27:46,cayelr,454687118,"Madrid, España",1379455798833725442,0,0,[],Por fin mi padre (90 años) acaba de recibir la primera dosis de la vacuna de Pfizer.
2021-04-06 15:27:45,DAZO_GR,2457944414,"Madrid, Comunidad de Madrid",1379455794769498118,0,0,[],"Sánchez acusa a Ayuso de falta de ""solidaridad y lealtad"" por negociar la llegada de la vacuna rusa Sputnik, por… https://t.co/OpzOi7Setp"
2021-04-06 15:27:39,madelpozo67,516783550,Madrid,1379455770098593794,3,1,[],"@Marilomma @mlalanda Hola Mariló. Si hacemos caso a lo que avala la @EMA_News y a la vacunación en UK, AZ es eficie… https://t.co/gRKvonWX1i"
2021-04-06 15:27:31,Alva_GG,233258610,"Aragón, Zaragoza",1379455736430915591,0,0,[],@javitxu976 Claro y el caso de este atleta no es ni eso. Se llama Teatro Plandemico 😀 campaña de vacunacion 👍
2021-04-06 15:27:23,elboletinmadrid,159147843,"Madrid, España",1379455704952606727,0,0,[],La OMS insiste en que «por ahora» no hay evidencias de que la vacuna de AstraZeneca provoque trombos… https://t.co/yUjJj0nlSf
2021-04-06 15:27:22,de_navalmoral,1364611826051391492,Navalmoral de la Mata,1379455700829663235,0,0,[],Datos de Incidencia e información de las jornadas de vacunación de esta semana https://t.co/GpUIsHeSrO a través de… https://t.co/RYjlcPxc0n
2021-04-06 15:26:30,TxabyJJ,431478282,Uviéu,1379455482516094976,0,0,[],@elmundoes Pero esa vacuna es comunista 🙄
2021-04-06 15:26:14,NameScar,378744145,Madrid,1379455413498822658,4,0,[],@tolo_pirolo Por eso lo de IDA y la vacuna rusa...🤔
2021-04-06 15:26:11,Carlos39369779,1052678676633018368,"Madrid, España",1379455403461910531,1,0,[],"@hipatia20s @AzotandoM Es tan nuevo que no se puede prever. Por eso van viendo según pasan los meses: si muta, si n… https://t.co/4DxffaaLyX"
2021-04-06 15:26:05,bustopelos,706881453,Azuqueca de Henares,1379455377612406785,0,0,[],"Todos los tuiteros de derechas buscando para borrar de su TL sus tuits contra Rusia , la vacuna, las amenazas contr… https://t.co/chbqH4Mpyx"
2021-04-06 15:25:54,PotiPot12852968,1228625569585258497,"Madrid, España",1379455331152105472,0,0,[],"@soy_un_gnomo1 Es de Vox, la vacuna no es obligatoria claro, pero creo que una vez que tienes un cargo público hay… https://t.co/pxCriqxUco"
2021-04-06 15:25:39,Fraansivianes_c,1194263870707294210,"Sevilla, España",1379455267725787137,0,0,[],"En agosto, según @sanchezcastejon, habrá un 70% de personas vacunadas (33 millones). Según el ministerio de sanidad… https://t.co/0RC1fBBJNS"
2021-04-06 15:25:31,isabelsan123,289252768,"Madrid, Spain",1379455235509346308,0,0,[],¿Por qué hay casos de trombosis vinculados a la vacuna de AstraZeneca y no a Pfizer o Moderna? https://t.co/TuegtBiRLm
2021-04-06 15:25:27,rintereconomia,16886866,Madrid,1379455218975444995,3,2,"[{'text': 'Análisis', 'indices': [5, 14]}]","📊📍El #Análisis con @nat_aguirre_R4, directora de análisis y Estrategia de @Renta4 

""El fondo del mercado en términ… https://t.co/LIYnRm4sz9"
2021-04-06 15:24:50,TomsGordillo,1331154228291788805,"Pamplona, España",1379455062771175425,0,0,[],"@populares El anuncio de la Sra Ayuso de comprar la vacuna Rusa, saltandose la UE, solo para desviar la atención de… https://t.co/WxO4DqMxeF"
2021-04-06 15:24:49,paupbn,557918466,"Reus, Catalunya",1379455057310191621,0,0,[],@jacquiperezla @IdiazAyuso @pablocasado_ Obviamente... Europa será quien negocie... Aunque la UE no sé a qué espera… https://t.co/rQLI815rcC
2021-04-06 15:24:42,aikimi77,852193213356048384,"Oviedo, Asturias",1379455028373688324,8,3,[],"No es la vacuna...son las vacaciones...mientras a otros no nos dejan trabajar ni movernos del concejo, ni visitar a… https://t.co/dbwoSMMswy"
2021-04-06 15:24:31,TheHellblazer90,130443726,Sevilla,1379454981774925827,2,0,[],Los efectos secundarios de la vacuna https://t.co/GMtnmCYhGZ
2021-04-06 15:24:28,monicacarazo,133226316,rivas vaciamadrid,1379454967820484608,42,26,[],"Ayuso... sin competencias para ello, intenta negociar la compra de la vacuna Sputnik, vacuna, por cierto, que no ha… https://t.co/sxQkQEMy9P"
2021-04-06 15:23:57,santiOZ,101733880,Madrid - Spain,1379454838367514629,0,0,[],@Julia_Gomez98 Pero si piden certificado de vacunacion a los que entren? O que hagan pruebas rapidas como en el de… https://t.co/NvieT3fr0G
2021-04-06 15:23:55,mfersan015,760139685536694272,"Madrid, Comunidad de Madrid",1379454829416824836,1,0,[],@_jorgegd_ @zaragoza_visit @CarmenTwin72 @Soniatwin72 @AndaluciaJunta @mianrey @miguelpm_04 @ngbpadel2… https://t.co/gzokuJ0xkY
2021-04-06 15:23:33,elperiodic,71357578,"Comunidad Valenciana, España",1379454740598243331,0,0,[],"Por amplitud, accesos y ventilación, el polideportivo de la Bosca es el lugar ideal para la administración de las v… https://t.co/jyhL0WdoVI"
2021-04-06 15:23:33,vm10101,2371280943,Madrid,1379454737830010880,0,0,[],"@IdiazAyuso Pero cómo es esto, con el odio y repulsa que tiene hacia los comunistas y va quiere comprarles la vacun… https://t.co/VIYo8x3Qgy"
2021-04-06 15:23:33,olga_sedo,2509244452,País Valencià,1379454737360285698,0,0,[],YAAAAAAA he terminado la vacuna!!! 🥳🥳🥳🥳🥳🥳🥳🥳
2021-04-06 15:23:16,CarlosBarraganT,240638367,Madrid,1379454669492260873,0,0,[],"Es innegable que a nivel internacional su apuesta por la vacuna ha sido un éxito inesperado. ""There’s no way in hel… https://t.co/fn1zieQXZt"
2021-04-06 15:23:05,ActValenciana,800436616904855552,"Valencia, España",1379454619823312904,0,0,[],José Martí se vacuna de AstraZeneca en Vila-real @dipcas https://t.co/ACYPzuzlgp
2021-04-06 15:22:51,jiminguez44,398978686,Madrid,1379454562222936070,2,0,[],@Amparo97827464 @DebatAlRojoVivo Por qué? Ella no es libre de elegir si se vacuna o no como lo es usted?
2021-04-06 15:22:49,LaRegion,313819854,Ourense,1379454555864367106,2,1,"[{'text': 'Vídeo', 'indices': [3, 9]}]",📽️ #Vídeo Ourense inicia hoy la vacunación masiva contra el covid. Más de 1.700 ourensanos están citados esta tarde… https://t.co/mFy2msSD7g
2021-04-06 15:22:48,MiguelAngelSGR,308579276,"Región de Murcia, España",1379454549602271241,0,0,[],"@campuzano_mabel, la nueva Consejera de Educación de la Región, dice que no se va a vacunar, por lo menos mientras… https://t.co/LBhAE6kdQf"
2021-04-06 15:22:19,agogasser,735966018,"Granada, España",1379454428537831426,1,0,[],"La comunicación, como vacuna contra los cinco virus que amenazan a la democracia - El blog de JM Velasco 

Excelent… https://t.co/nqnvSH0K0x"
2021-04-06 15:22:07,charos1988,934856425238605824,"Madrid, Comunidad de Madrid",1379454378654973955,1,0,[],"De golpe hoy los medios ya no hablan de la vacuna rusa.

Ahora es la Sputnik. 🤷🏻‍♂️"
2021-04-06 15:22:00,CruzRojaLeonES,3362514214,"León, España",1379454348045004804,4,0,"[{'text': 'Vacunación', 'indices': [3, 14]}, {'text': 'YoMeVacuno', 'indices': [96, 107]}]","La #Vacunación contra el coronavirus
¿Por qué vacunarse?
Por mí, por ti, por todas las personas #YoMeVacuno… https://t.co/QXso6nYcb4"
2021-04-06 15:21:11,RadioAlcoy,326651728,Alcoy,1379454143476158472,3,1,"[{'text': 'Alcoi', 'indices': [98, 104]}, {'text': 'Alcoy', 'indices': [105, 111]}]","La primera vacunación masiva por edades en el Complejo Eduardo Latorre se desarrolla a buen ritmo #Alcoi #Alcoy

https://t.co/iF8LZyQBcP"
2021-04-06 15:20:55,JacoboBK_,1266501313661198341,Sevilla,1379454076702883844,0,0,[],"76 años, vacunando desde enero, y se vacuna en abril . ¿Esto marcha? https://t.co/9hcr5pRTFp"
2021-04-06 15:20:30,DownAndalucia,461006134,Sevilla,1379453969974591495,0,2,[],"Publicada ya la quinta actualización del Programa de Vacunación COVID-19 en Andalucía, Down Andalucía pide a la Con… https://t.co/gaDmiGQVoX"
2021-04-06 15:20:02,quediario,28076939,"Madrid, Spain",1379453856157958152,0,0,[],"Sánchez comparece tras el Consejo de Ministros para informar del plan de vacunación
https://t.co/Vf0l3CiteS"
2021-04-06 15:19:57,LaVozGr,1118104425489469440,"Granada, España",1379453831600291843,0,1,[],Pedro Fernández: «Le pido a la Junta deje de engañar a los andaluces y las andaluzas en un tema tan serio como la v… https://t.co/RpYpK9o0ky
2021-04-06 15:19:36,sermadrede2,744979960364929024,Salamanca,1379453744593698818,0,0,[],@Saragh8 X cierto q tal tu vacuna?
2021-04-06 15:19:23,s24horas,403281555,Salamanca,1379453689426022401,1,0,[],"VACUNACIÓN MASIVA | Carlos García Carbayo: ""El inicio de la vacunación masiva será el principio del fin de esta pes… https://t.co/U1hpTtl6CJ"
2021-04-06 15:19:09,garri_daniel,2734896009,Albacete,1379453631225856001,7,1,[],La gente que está en contra de la vacunación y creé en los horóscopos que hace con su vida?
2021-04-06 15:18:39,ManuelJigato,280512168,Sevilla,1379453505824505856,0,0,[],"@europapress @IdiazAyuso usa su estrategia con la vacuna, pero @BalEdmundo ve ridículo cualquier cosa que no entien… https://t.co/aA2IR6Vz2E"
2021-04-06 15:18:18,GacetaMedicaCom,392623482,Madrid,1379453417303777284,1,1,[],"💉Sánchez apuesta por alcanzar los 33 millones de vacunados a finales de agosto

⬆️El presidente @sanchezcastejon  p… https://t.co/7qKo043zmQ"
2021-04-06 15:17:58,la8salamanca,2696080105,"Salamanca, España",1379453335359610883,1,0,[],"AMPLIACIÓN 

Así va a funcionar la vacunación masiva en el Multiusos Sánchez Paraíso 💉
El @aytoSalamanca cede este… https://t.co/Mgx4py3QSo"
2021-04-06 15:17:53,pistonudo,2151660109,Rivas-Vaciamadrid,1379453312664240134,2,0,[],@DaperS Es una nueva cortina de humo por parte de MAR que nos distrae y mientras hablamos de esto no nos fijamos en… https://t.co/o5p5Tx9CYD
2021-04-06 15:17:17,MaxAsecas,1701350479,Gijon,1379453164148129798,0,0,[],A lo mejor lo de la Señorita Puri es porque le pusieron la vacuna de AstraZeneca.
2021-04-06 15:16:56,pakordelius,118127262,"Sevilla, España",1379453074658500609,1,0,[],@mianrey La vacuna se va notando.
2021-04-06 15:16:52,psoeburgos,126310045,Burgos,1379453057356947458,2,2,[],"💉Es necesario un plan de vacunación único y transparente y que evite desequilibrios entre provincias

🚒El nuevo pla… https://t.co/ED71uNUCEB"
2021-04-06 15:16:36,_jorgegd_,248472135,"Comunidad de Madrid, España",1379452990633955328,3,0,[],@zaragoza_visit @mfersan015 @CarmenTwin72 @Soniatwin72 @AndaluciaJunta @mianrey @miguelpm_04 @ngbpadel2… https://t.co/P3wnBdvcEL
2021-04-06 15:16:04,JESSMROSLATIEND,490473662,"Zaragoza, España",1379452857519312898,0,0,[],@urederriano ¿Qué vacuna les habrán puesto?
